2025-12-21 10:14:36,536 INFO: Encoding: task 1 of 1, 74.06 % (380.70 fps, avg 382.33 fps, ETA 00h00m53s)
2025-12-21 10:14:36,736 INFO: Encoding: task 1 of 1, 74.16 % (379.46 fps, avg 382.38 fps, ETA 00h00m52s)
2025-12-21 10:14:36,936 INFO: Encoding: task 1 of 1, 74.25 % (379.46 fps, avg 382.38 fps, ETA 00h00m52s)
2025-12-21 10:14:37,136 INFO: Encoding: task 1 of 1, 74.34 % (379.46 fps, avg 382.38 fps, ETA 00h00m52s)
2025-12-21 10:14:37,336 INFO: Encoding: task 1 of 1, 74.44 % (379.46 fps, avg 382.38 fps, ETA 00h00m52s)
2025-12-21 10:14:37,536 INFO: Encoding: task 1 of 1, 74.54 % (379.46 fps, avg 382.38 fps, ETA 00h00m52s)
2025-12-21 10:14:37,736 INFO: Encoding: task 1 of 1, 74.64 % (382.85 fps, avg 382.37 fps, ETA 00h00m51s)
2025-12-21 10:14:37,937 INFO: Encoding: task 1 of 1, 74.75 % (382.85 fps, avg 382.37 fps, ETA 00h00m51s)
2025-12-21 10:14:38,137 INFO: Encoding: task 1 of 1, 74.85 % (382.85 fps, avg 382.37 fps, ETA 00h00m51s)
2025-12-21 10:14:38,337 INFO: Encoding: task 1 of 1, 74.95 % (382.85 fps, avg 382.37 fps, ETA 00h00m51s)
2025-12-21 10:14:38,537 INFO: Encoding: task 1 of 1, 75.04 % (382.85 fps, avg 382.37 fps, ETA 00h00m51s)
2025-12-21 10:14:38,737 INFO: Encoding: task 1 of 1, 75.13 % (383.50 fps, avg 382.35 fps, ETA 00h00m50s)
2025-12-21 10:14:38,938 INFO: Encoding: task 1 of 1, 75.23 % (383.50 fps, avg 382.35 fps, ETA 00h00m50s)
2025-12-21 10:14:39,138 INFO: Encoding: task 1 of 1, 75.35 % (383.50 fps, avg 382.35 fps, ETA 00h00m50s)
2025-12-21 10:14:39,338 INFO: Encoding: task 1 of 1, 75.43 % (383.50 fps, avg 382.35 fps, ETA 00h00m50s)
2025-12-21 10:14:39,538 INFO: Encoding: task 1 of 1, 75.55 % (383.50 fps, avg 382.35 fps, ETA 00h00m50s)
2025-12-21 10:14:39,738 INFO: Encoding: task 1 of 1, 75.63 % (383.50 fps, avg 382.35 fps, ETA 00h00m50s)
2025-12-21 10:14:39,939 INFO: Encoding: task 1 of 1, 75.74 % (382.41 fps, avg 382.38 fps, ETA 00h00m49s)
2025-12-21 10:14:40,139 INFO: Encoding: task 1 of 1, 75.83 % (382.41 fps, avg 382.38 fps, ETA 00h00m49s)
2025-12-21 10:14:40,339 INFO: Encoding: task 1 of 1, 75.94 % (382.41 fps, avg 382.38 fps, ETA 00h00m49s)
2025-12-21 10:14:40,539 INFO: Encoding: task 1 of 1, 76.03 % (382.41 fps, avg 382.38 fps, ETA 00h00m49s)
2025-12-21 10:14:40,739 INFO: Encoding: task 1 of 1, 76.12 % (382.41 fps, avg 382.38 fps, ETA 00h00m49s)
2025-12-21 10:14:40,940 INFO: Encoding: task 1 of 1, 76.24 % (388.67 fps, avg 382.49 fps, ETA 00h00m48s)
2025-12-21 10:14:41,140 INFO: Encoding: task 1 of 1, 76.34 % (388.67 fps, avg 382.49 fps, ETA 00h00m48s)
2025-12-21 10:14:41,340 INFO: Encoding: task 1 of 1, 76.43 % (388.67 fps, avg 382.49 fps, ETA 00h00m48s)
2025-12-21 10:14:41,540 INFO: Encoding: task 1 of 1, 76.52 % (388.67 fps, avg 382.49 fps, ETA 00h00m48s)
2025-12-21 10:14:41,740 INFO: Encoding: task 1 of 1, 76.64 % (388.67 fps, avg 382.49 fps, ETA 00h00m48s)
2025-12-21 10:14:41,940 INFO: Encoding: task 1 of 1, 76.74 % (386.44 fps, avg 382.43 fps, ETA 00h00m47s)
2025-12-21 10:14:42,140 INFO: Encoding: task 1 of 1, 76.84 % (386.44 fps, avg 382.43 fps, ETA 00h00m47s)
2025-12-21 10:14:42,341 INFO: Encoding: task 1 of 1, 76.94 % (386.44 fps, avg 382.43 fps, ETA 00h00m47s)
2025-12-21 10:14:42,541 INFO: Encoding: task 1 of 1, 77.03 % (386.44 fps, avg 382.43 fps, ETA 00h00m47s)
2025-12-21 10:14:42,741 INFO: Encoding: task 1 of 1, 77.12 % (386.44 fps, avg 382.43 fps, ETA 00h00m47s)
2025-12-21 10:14:42,941 INFO: Encoding: task 1 of 1, 77.24 % (385.73 fps, avg 382.45 fps, ETA 00h00m46s)
2025-12-21 10:14:43,141 INFO: Encoding: task 1 of 1, 77.33 % (385.73 fps, avg 382.45 fps, ETA 00h00m46s)
2025-12-21 10:14:43,341 INFO: Encoding: task 1 of 1, 77.44 % (385.73 fps, avg 382.45 fps, ETA 00h00m46s)
2025-12-21 10:14:43,542 INFO: Encoding: task 1 of 1, 77.52 % (385.73 fps, avg 382.45 fps, ETA 00h00m46s)
2025-12-21 10:14:43,742 INFO: Encoding: task 1 of 1, 77.63 % (385.73 fps, avg 382.45 fps, ETA 00h00m46s)
2025-12-21 10:14:43,942 INFO: Encoding: task 1 of 1, 77.73 % (385.12 fps, avg 382.54 fps, ETA 00h00m45s)
2025-12-21 10:14:44,142 INFO: Encoding: task 1 of 1, 77.82 % (385.12 fps, avg 382.54 fps, ETA 00h00m45s)
2025-12-21 10:14:44,342 INFO: Encoding: task 1 of 1, 77.91 % (385.12 fps, avg 382.54 fps, ETA 00h00m45s)
2025-12-21 10:14:44,543 INFO: Encoding: task 1 of 1, 78.02 % (385.12 fps, avg 382.54 fps, ETA 00h00m45s)
2025-12-21 10:14:44,743 INFO: Encoding: task 1 of 1, 78.11 % (385.12 fps, avg 382.54 fps, ETA 00h00m45s)
2025-12-21 10:14:44,943 INFO: Encoding: task 1 of 1, 78.22 % (381.82 fps, avg 382.42 fps, ETA 00h00m44s)
2025-12-21 10:14:45,144 INFO: Encoding: task 1 of 1, 78.31 % (381.82 fps, avg 382.42 fps, ETA 00h00m44s)
2025-12-21 10:14:45,344 INFO: Encoding: task 1 of 1, 78.42 % (381.82 fps, avg 382.42 fps, ETA 00h00m44s)
2025-12-21 10:14:45,544 INFO: Encoding: task 1 of 1, 78.49 % (381.82 fps, avg 382.42 fps, ETA 00h00m44s)
2025-12-21 10:14:45,744 INFO: Encoding: task 1 of 1, 78.59 % (381.82 fps, avg 382.42 fps, ETA 00h00m44s)
2025-12-21 10:14:45,944 INFO: Encoding: task 1 of 1, 78.70 % (378.90 fps, avg 382.38 fps, ETA 00h00m43s)
2025-12-21 10:14:46,144 INFO: Encoding: task 1 of 1, 78.78 % (378.90 fps, avg 382.38 fps, ETA 00h00m43s)
2025-12-21 10:14:46,344 INFO: Encoding: task 1 of 1, 78.89 % (378.90 fps, avg 382.38 fps, ETA 00h00m43s)
2025-12-21 10:14:46,545 INFO: Encoding: task 1 of 1, 78.99 % (378.90 fps, avg 382.38 fps, ETA 00h00m43s)
2025-12-21 10:14:46,746 INFO: Encoding: task 1 of 1, 79.10 % (378.90 fps, avg 382.38 fps, ETA 00h00m43s)
2025-12-21 10:14:46,946 INFO: Encoding: task 1 of 1, 79.19 % (381.66 fps, avg 382.53 fps, ETA 00h00m42s)
2025-12-21 10:14:47,146 INFO: Encoding: task 1 of 1, 79.29 % (381.66 fps, avg 382.53 fps, ETA 00h00m42s)
2025-12-21 10:14:47,346 INFO: Encoding: task 1 of 1, 79.39 % (381.66 fps, avg 382.53 fps, ETA 00h00m42s)
2025-12-21 10:14:47,547 INFO: Encoding: task 1 of 1, 79.48 % (381.66 fps, avg 382.53 fps, ETA 00h00m42s)
2025-12-21 10:14:47,747 INFO: Encoding: task 1 of 1, 79.60 % (381.66 fps, avg 382.53 fps, ETA 00h00m42s)
2025-12-21 10:14:47,947 INFO: Encoding: task 1 of 1, 79.71 % (379.70 fps, avg 382.37 fps, ETA 00h00m41s)
2025-12-21 10:14:48,147 INFO: Encoding: task 1 of 1, 79.78 % (379.70 fps, avg 382.37 fps, ETA 00h00m41s)
2025-12-21 10:14:48,348 INFO: Encoding: task 1 of 1, 79.89 % (379.70 fps, avg 382.37 fps, ETA 00h00m41s)
2025-12-21 10:14:48,548 INFO: Encoding: task 1 of 1, 79.97 % (379.70 fps, avg 382.37 fps, ETA 00h00m41s)
2025-12-21 10:14:48,748 INFO: Encoding: task 1 of 1, 80.08 % (379.70 fps, avg 382.37 fps, ETA 00h00m41s)
2025-12-21 10:14:48,948 INFO: Encoding: task 1 of 1, 80.19 % (382.08 fps, avg 382.38 fps, ETA 00h00m40s)
2025-12-21 10:14:49,149 INFO: Encoding: task 1 of 1, 80.28 % (382.08 fps, avg 382.38 fps, ETA 00h00m40s)
2025-12-21 10:14:49,349 INFO: Encoding: task 1 of 1, 80.38 % (382.08 fps, avg 382.38 fps, ETA 00h00m40s)
2025-12-21 10:14:49,549 INFO: Encoding: task 1 of 1, 80.48 % (382.08 fps, avg 382.38 fps, ETA 00h00m40s)
2025-12-21 10:14:49,749 INFO: Encoding: task 1 of 1, 80.57 % (382.08 fps, avg 382.38 fps, ETA 00h00m40s)
2025-12-21 10:14:49,949 INFO: Encoding: task 1 of 1, 80.67 % (374.43 fps, avg 382.37 fps, ETA 00h00m39s)
2025-12-21 10:14:50,150 INFO: Encoding: task 1 of 1, 80.77 % (374.43 fps, avg 382.37 fps, ETA 00h00m39s)
2025-12-21 10:14:50,350 INFO: Encoding: task 1 of 1, 80.87 % (374.43 fps, avg 382.37 fps, ETA 00h00m39s)
2025-12-21 10:14:50,550 INFO: Encoding: task 1 of 1, 80.96 % (374.43 fps, avg 382.37 fps, ETA 00h00m39s)
2025-12-21 10:14:50,750 INFO: Encoding: task 1 of 1, 81.06 % (374.43 fps, avg 382.37 fps, ETA 00h00m39s)
2025-12-21 10:14:50,950 INFO: Encoding: task 1 of 1, 81.19 % (382.80 fps, avg 382.38 fps, ETA 00h00m38s)
2025-12-21 10:14:51,150 INFO: Encoding: task 1 of 1, 81.26 % (382.80 fps, avg 382.38 fps, ETA 00h00m38s)
2025-12-21 10:14:51,350 INFO: Encoding: task 1 of 1, 81.35 % (382.80 fps, avg 382.38 fps, ETA 00h00m38s)
2025-12-21 10:14:51,550 INFO: Encoding: task 1 of 1, 81.45 % (382.80 fps, avg 382.38 fps, ETA 00h00m38s)
2025-12-21 10:14:51,751 INFO: Encoding: task 1 of 1, 81.55 % (382.80 fps, avg 382.38 fps, ETA 00h00m38s)
2025-12-21 10:14:51,951 INFO: Encoding: task 1 of 1, 81.64 % (380.78 fps, avg 382.35 fps, ETA 00h00m37s)
2025-12-21 10:14:52,151 INFO: Encoding: task 1 of 1, 81.76 % (380.78 fps, avg 382.35 fps, ETA 00h00m37s)
2025-12-21 10:14:52,351 INFO: Encoding: task 1 of 1, 81.84 % (380.78 fps, avg 382.35 fps, ETA 00h00m37s)
2025-12-21 10:14:52,551 INFO: Encoding: task 1 of 1, 81.93 % (380.78 fps, avg 382.35 fps, ETA 00h00m37s)
2025-12-21 10:14:52,751 INFO: Encoding: task 1 of 1, 82.04 % (380.78 fps, avg 382.35 fps, ETA 00h00m37s)
2025-12-21 10:14:52,793 INFO: Encoding: task 1 of 1, 82.13 % (373.68 fps, avg 382.22 fps, ETA 00h00m36s)[10:14:52] sync: "Chapter 7" (7) at frame 63615 time 191032842
2025-12-21 10:14:53,151 INFO: Encoding: task 1 of 1, 82.23 % (373.68 fps, avg 382.22 fps, ETA 00h00m36s)
2025-12-21 10:14:53,352 INFO: Encoding: task 1 of 1, 82.32 % (373.68 fps, avg 382.22 fps, ETA 00h00m36s)
2025-12-21 10:14:53,552 INFO: Encoding: task 1 of 1, 82.41 % (373.68 fps, avg 382.22 fps, ETA 00h00m36s)
2025-12-21 10:14:53,752 INFO: Encoding: task 1 of 1, 82.53 % (373.68 fps, avg 382.22 fps, ETA 00h00m36s)
2025-12-21 10:14:53,952 INFO: Encoding: task 1 of 1, 82.60 % (373.68 fps, avg 382.22 fps, ETA 00h00m36s)
2025-12-21 10:14:54,152 INFO: Encoding: task 1 of 1, 82.72 % (373.47 fps, avg 382.22 fps, ETA 00h00m35s)
2025-12-21 10:14:54,353 INFO: Encoding: task 1 of 1, 82.82 % (373.47 fps, avg 382.22 fps, ETA 00h00m35s)
2025-12-21 10:14:54,553 INFO: Encoding: task 1 of 1, 82.90 % (373.47 fps, avg 382.22 fps, ETA 00h00m35s)
